phase,power_calibration_hash,analysis_report_hash,dataset_hash,analysis_plan_hash,analysis_registration_hash,candidate_environment_count,selected_environment_count,candidate_is_selected,hypothesis_name,hypothesis_family,hypothesis_alternative,hypothesis_null_value,hypothesis_minimum_effect,equivalence_margin,certified_equivalence_population,diagnostic_equivalence_location,hypothesis_rejections,simulations,conditional_working_model_power,simulation_error_alpha,simultaneous_decision_count,simulation_error_bound,hypothesis_power,hypothesis_power_lower_bound,favorable_sign_successes,favorable_sign_trials,favorable_sign_probability_lower_bound,lower_tost_successes,upper_tost_successes,lower_tost_probability_bound,upper_tost_probability_bound,lower_tost_power_bound,upper_tost_power_bound,design_confidence_alpha,simultaneous_design_event_count,per_event_confidence_alpha,effect_interval_lower,effect_interval_upper,effect_adequacy_passed,minimum_hypothesis_power_target,hypothesis_meets_target,registered_joint_rejections,registered_joint_power,registered_joint_power_lower_bound,minimum_registered_joint_power_target,registered_joint_power_meets_target,directional_global_null_rejections,directional_global_null_fwer,directional_global_null_fwer_upper_bound,equivalence_lower_boundary_rejections,equivalence_lower_boundary_error,equivalence_lower_boundary_error_upper_bound,equivalence_upper_boundary_rejections,equivalence_upper_boundary_error,equivalence_upper_boundary_error_upper_bound,maximum_fwer_target,directional_global_null_fwer_meets_target,equivalence_lower_boundary_error_meets_target,equivalence_upper_boundary_error_meets_target,candidate_meets_all_targets,calibration_environment_clusters,algorithm_replicas_per_environment,family_alpha,design_semantics
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,32,,false,alea-over-ind-prediction-error-novelty,directional,greater,0.0,0.1,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999444780235779,128,128,0.9427243775730535,,,,,,,0.01,19,0.0005263157894736842,0.6521210211590326,0.6907324067196106,true,0.9,true,299,0.0299,0.0,0.8,false,66,0.0066,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,32,,false,ind-over-red-useful-information,directional,greater,0.0,0.5,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999444780235779,128,128,0.9427243775730535,,,,,,,0.01,19,0.0005263157894736842,2.6792233684175315,2.698840864702905,true,0.9,true,299,0.0299,0.0,0.8,false,66,0.0066,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,32,,false,relevant-over-total-trivia-hidden-reward,directional,greater,0.0,0.25,,,,299,10000,0.0299,0.01,90,0.02133656469106304,0.0299,4.2472720794141253e-07,58,128,0.3112864409206723,,,,,,,0.01,19,0.0005263157894736842,0.0,0.6666666666666666,false,0.9,false,299,0.0299,0.0,0.8,false,66,0.0066,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,32,,false,scheduled-over-fixed-hidden-reward,directional,greater,0.0,0.25,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9995710304032448,127,128,0.9249820592781437,,,,,,,0.01,19,0.0005263157894736842,2.0,2.0,true,0.9,true,299,0.0299,0.0,0.8,false,66,0.0066,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,32,,false,total-over-relevant-trivia-distractor-information,directional,greater,0.0,0.5,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999444780235779,128,128,0.9427243775730535,,,,,,,0.01,19,0.0005263157894736842,6.238460249079448,6.515745681223552,true,0.9,true,299,0.0299,0.0,0.8,false,66,0.0066,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,32,,false,ind-red-terminal-hidden-reward-equivalence,equivalence,exact-sign-tost,,,0.25,raw-held-out-calibration-population,0.0,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999981821484298,,128,,128,128,0.9427243775730535,0.9427243775730535,0.9999990910742149,0.9999990910742149,0.01,19,0.0005263157894736842,0.0,0.0,true,0.9,true,299,0.0299,0.0,0.8,false,66,0.0066,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,48,,false,alea-over-ind-prediction-error-novelty,directional,greater,0.0,0.1,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999999948346907,128,128,0.9427243775730535,,,,,,,0.01,19,0.0005263157894736842,0.6521210211590326,0.6907324067196106,true,0.9,true,406,0.0406,0.0,0.8,false,128,0.0128,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,48,,false,ind-over-red-useful-information,directional,greater,0.0,0.5,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999999948346907,128,128,0.9427243775730535,,,,,,,0.01,19,0.0005263157894736842,2.6792233684175315,2.698840864702905,true,0.9,true,406,0.0406,0.0,0.8,false,128,0.0128,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,48,,false,relevant-over-total-trivia-hidden-reward,directional,greater,0.0,0.25,,,,406,10000,0.0406,0.01,90,0.02133656469106304,0.0406,9.502246617295743e-08,58,128,0.3112864409206723,,,,,,,0.01,19,0.0005263157894736842,0.0,0.6666666666666666,false,0.9,false,406,0.0406,0.0,0.8,false,128,0.0128,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,48,,false,scheduled-over-fixed-hidden-reward,directional,greater,0.0,0.25,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999997797935046,127,128,0.9249820592781437,,,,,,,0.01,19,0.0005263157894736842,2.0,2.0,true,0.9,true,406,0.0406,0.0,0.8,false,128,0.0128,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,48,,false,total-over-relevant-trivia-distractor-information,directional,greater,0.0,0.5,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999999948346907,128,128,0.9427243775730535,,,,,,,0.01,19,0.0005263157894736842,6.238460249079448,6.515745681223552,true,0.9,true,406,0.0406,0.0,0.8,false,128,0.0128,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,48,,false,ind-red-terminal-hidden-reward-equivalence,equivalence,exact-sign-tost,,,0.25,raw-held-out-calibration-population,0.0,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999999998788438,,128,,128,128,0.9427243775730535,0.9427243775730535,0.9999999999394219,0.9999999999394219,0.01,19,0.0005263157894736842,0.0,0.0,true,0.9,true,406,0.0406,0.0,0.8,false,128,0.0128,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,64,,false,alea-over-ind-prediction-error-novelty,directional,greater,0.0,0.1,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999999999996049,128,128,0.9427243775730535,,,,,,,0.01,19,0.0005263157894736842,0.6521210211590326,0.6907324067196106,true,0.9,true,399,0.0399,1.4570429529570106e-08,0.8,false,162,0.0162,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,64,,false,ind-over-red-useful-information,directional,greater,0.0,0.5,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999999999996049,128,128,0.9427243775730535,,,,,,,0.01,19,0.0005263157894736842,2.6792233684175315,2.698840864702905,true,0.9,true,399,0.0399,1.4570429529570106e-08,0.8,false,162,0.0162,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,64,,false,relevant-over-total-trivia-hidden-reward,directional,greater,0.0,0.25,,,,399,10000,0.0399,0.01,90,0.02133656469106304,0.0399,1.466512854926837e-08,58,128,0.3112864409206723,,,,,,,0.01,19,0.0005263157894736842,0.0,0.6666666666666666,false,0.9,false,399,0.0399,1.4570429529570106e-08,0.8,false,162,0.0162,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,64,,false,scheduled-over-fixed-hidden-reward,directional,greater,0.0,0.25,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999999999064941,127,128,0.9249820592781437,,,,,,,0.01,19,0.0005263157894736842,2.0,2.0,true,0.9,true,399,0.0399,1.4570429529570106e-08,0.8,false,162,0.0162,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
calibration,c3dc9d3ce47f01941c62e29e8b52c51c44438bb2520c49aa7cd9483b211f8ef5,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,7773147425dea9ebebb9258234b3e47f3174900f8159c9b699151c03ca9427ef,32cb530cfd3044e4bd086d750bd4d3a86f307998843371d7f06f6b58212db3c1,64,,false,total-over-relevant-trivia-distractor-information,directional,greater,0.0,0.5,,,,10000,10000,1.0,0.01,90,0.02133656469106304,1.0,0.9999999999996049,128,128,0.9427243775730535,,,,,,,0.01,19,0.0005263157894736842,6.238460249079448,6.515745681223552,true,0.9,true,399,0.0399,1.4570429529570106e-08,0.8,false,162,0.0162,0.05,0,0.0,0.05,0,0.0,0.05,0.05,true,true,true,false,192,3,0.05,"Split-sample, distribution-free certification conditional on the preregistered iid stationary simulator-seed population. Exact order-statistic effect gates and Clopper-Pearson favorable-sign bounds determine selection; equivalence certification targets the raw held-out calibration population, while the shifted cluster bootstrap location is diagnostic only."
